#Points:1	velocidad:0	velocidad:1
0.314	-0.3070802	0.02615956
0.315	-0.3066159	0.02640807
0.316	-0.3061516	0.02665658
0.317	-0.3056723	0.02690423
0.318	-0.3051632	0.02715016
0.319	-0.304654	0.0273961
0.32	-0.3041449	0.02764203
0.321	-0.3035921	0.02788511
0.322	-0.3030393	0.02812819
0.323	-0.3024865	0.02837128
0.324	-0.3019055	0.02861228
0.325	-0.3013104	0.02885224
0.326	-0.3007152	0.02909221
0.327	-0.3001064	0.02933106
0.328	-0.2994702	0.02956767
0.329	-0.2988341	0.02980428
0.33	-0.2981979	0.03004089
0.331	-0.297522	0.03027391
0.332	-0.2968462	0.03050693
0.333	-0.2961704	0.03073996
0.334	-0.2954691	0.03097045
0.335	-0.294755	0.03119969
0.336	-0.2940409	0.03142892
0.337	-0.2933146	0.03165683
0.338	-0.2925637	0.03188208
0.339	-0.2918129	0.03210733
0.34	-0.2910621	0.03233259
0.341	-0.290276	0.03255369
0.342	-0.2894899	0.0327748
0.343	-0.2887038	0.03299591
0.344	-0.2878952	0.03321416
0.345	-0.2870753	0.03343097
0.346	-0.2862555	0.03364777
0.347	-0.2854249	0.03386312
0.348	-0.2845728	0.0340755
0.349	-0.2837208	0.03428789
0.35	-0.2828687	0.03450028
0.351	-0.281986	0.03470814
0.352	-0.2811034	0.03491599
0.353	-0.2802207	0.03512385
0.354	-0.2793186	0.03532863
0.355	-0.2784068	0.03553186
0.356	-0.2774951	0.0357351
0.357	-0.2765741	0.03593676
0.358	-0.2756349	0.03613531
0.359	-0.2746956	0.03633385
0.36	-0.2737563	0.0365324
0.361	-0.2727911	0.0367262
0.362	-0.2718259	0.03692
0.363	-0.2708607	0.0371138
0.364	-0.2698792	0.03730442
0.365	-0.2688896	0.03749344
0.366	-0.2679	0.03768247
0.367	-0.2669027	0.0378699
0.368	-0.2658902	0.03805414
0.369	-0.2648778	0.03823837
0.37	-0.2638653	0.03842261
0.371	-0.2628315	0.03860206
0.372	-0.2617977	0.03878152
0.373	-0.2607639	0.03896097
0.374	-0.2597168	0.03913725
0.375	-0.2586632	0.03931193
0.376	-0.2576095	0.03948662
0.377	-0.2565497	0.03965973
0.378	-0.2554776	0.03982969
0.379	-0.2544056	0.03999965
0.38	-0.2533335	0.0401696
0.381	-0.2522445	0.04033489
0.382	-0.2511555	0.04050016
0.383	-0.2500665	0.04066544
0.384	-0.2489671	0.04082765
0.385	-0.2478625	0.04098832
0.386	-0.2467579	0.04114899
0.387	-0.2456486	0.04130814
0.388	-0.2445297	0.04146428
0.389	-0.2434109	0.04162042
0.39	-0.2422921	0.04177655
0.391	-0.2411604	0.04192825
0.392	-0.2400287	0.04207994
0.393	-0.2388969	0.04223164
0.394	-0.2377574	0.04238045
0.395	-0.236614	0.04252781
0.396	-0.2354706	0.04267517
0.397	-0.2343237	0.04282112
0.398	-0.2331699	0.04296426
0.399	-0.2320161	0.0431074
0.4	-0.2308622	0.04325054
0.401	-0.2296991	0.04338958
0.402	-0.228536	0.04352863
0.403	-0.2273728	0.04366767
0.404	-0.2262042	0.04380407
0.405	-0.2250329	0.04393915
0.406	-0.2238616	0.04407423
0.407	-0.2226879	0.04420804
0.408	-0.2215095	0.0443393
0.409	-0.2203311	0.04447056
0.41	-0.2191526	0.04460181
0.411	-0.217968	0.0447294
0.412	-0.2167835	0.04485699
0.413	-0.2155989	0.04498457
0.414	-0.2144109	0.04510981
0.415	-0.2132211	0.04523388
0.416	-0.2120314	0.04535795
0.417	-0.2108402	0.0454809
0.418	-0.2096461	0.04560161
0.419	-0.2084521	0.04572232
0.42	-0.2072581	0.04584302
0.421	-0.2060605	0.04596054
0.422	-0.204863	0.04607805
0.423	-0.2036655	0.04619557
0.424	-0.2024662	0.04631106
0.425	-0.201266	0.04642555
0.426	-0.2000658	0.04654003
0.427	-0.198865	0.04665356
0.428	-0.1976628	0.04676519
0.429	-0.1964607	0.04687682
0.43	-0.1952585	0.04698844
0.431	-0.1940551	0.04709738
0.432	-0.1928516	0.04720632
0.433	-0.1916482	0.04731526
0.434	-0.1904443	0.04742252
0.435	-0.1892402	0.04752894
0.436	-0.1880361	0.04763536
0.437	-0.1868319	0.047741
0.438	-0.1856277	0.04784508
0.439	-0.1844235	0.04794915
0.44	-0.1832193	0.04805323
0.441	-0.1820154	0.04815513
0.442	-0.1808116	0.04825703
0.443	-0.1796078	0.04835894
0.444	-0.1784046	0.0484595
0.445	-0.1772016	0.0485594
0.446	-0.1759987	0.0486593
0.447	-0.1747962	0.04875858
0.448	-0.1735945	0.04885664
0.449	-0.1723928	0.0489547
0.45	-0.1711912	0.04905276
0.451	-0.1699912	0.04914915
0.452	-0.1687912	0.04924554
0.453	-0.1675911	0.04934193
0.454	-0.1663925	0.04943731
0.455	-0.1651944	0.04953219
0.456	-0.1639964	0.04962706
0.457	-0.1627991	0.04972149
0.458	-0.1616034	0.04981502
0.459	-0.1604076	0.04990854
0.46	-0.1592118	0.05000207
0.461	-0.1580186	0.05009439
0.462	-0.1568253	0.05018672
0.463	-0.1556321	0.05027904
0.464	-0.1544406	0.05037067
0.465	-0.15325	0.05046195
0.466	-0.1520595	0.05055322
0.467	-0.1508699	0.0506442
0.468	-0.1496822	0.05073457
0.469	-0.1484945	0.05082494
0.47	-0.1473069	0.05091531
0.471	-0.1461222	0.05100492
0.472	-0.1449375	0.05109453
0.473	-0.1437528	0.05118413
0.474	-0.1425702	0.05127332
0.475	-0.1413886	0.05136229
0.476	-0.1402071	0.05145127
0.477	-0.1390266	0.05154007
0.478	-0.1378482	0.05162854
0.479	-0.1366697	0.05171701
0.48	-0.1354914	0.05180548
0.481	-0.1343161	0.05189357
0.482	-0.133141	0.05198166
0.483	-0.1319658	0.05206975
0.484	-0.1307927	0.05215766
0.485	-0.1296207	0.05224548
